mechanism,snapshot_AE_m,trajectory_AE_m,availability,location_error_m
k-Anonymity,1138.9,3157.8,1.0000,624.1
Differential Privacy,803.0,2082.3,1.0000,489.9
Graph-Constrained DP,838.3,1518.4,1.0000,1016.3
Density-Aware k-Anon,1121.9,3073.7,1.0000,589.3
DA-Hybrid (ours),581.8,2909.4,1.0000,405.1
MIRAGE (ours),698.5,1903.6,1.0000,798.0
Temporal Cloaking,3798.6,4877.5,1.0000,4099.9
